Hourly measurement data supplied by UK-air on 14/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,"London Bloomsbury",,"London Eltham",,"London Harlington",,"London Marylebone Road",,"London N. Kensington",,"London Teddington Bushy Park",
Latitude,,51.466030,,51.522290,,51.452580,,51.488790,,51.522530,,51.521050,,51.425286,,
Longitude,,0.184806,,-0.125889,,0.070766,,-0.441614,,-0.154611,,-0.213492,,-0.345606,,
Site Type,,Suburban Background,,Urban Background,,Suburban Background,,Urban Industrial,,Urban Traffic,,Urban Background,,Urban Background,,
Zone,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,
Agglomeration,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,,"Bexley",,"Camden",,"Greenwich",,"Hillingdon",,"Westminster",,"Kensington",,"Richmond",,
Date,Time,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2017-11-01,17:00:00,10.4,V ugm-3 (TEOM FDMS),10.6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),14.13,V ugm-3 (Ref.eq),20.8,V ugm-3 (TEOM FDMS),11.4,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2017-11-01,18:00:00,18.1,V ugm-3 (TEOM FDMS),9.3,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),14.41,V ugm-3 (Ref.eq),32.2,V ugm-3 (TEOM FDMS),15.5,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2017-11-01,19:00:00,20.9,V ugm-3 (TEOM FDMS),11.9,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),13.738,V ugm-3 (Ref.eq),26.1,V ugm-3 (TEOM FDMS),15.2,V ugm-3 (TEOM FDMS),24.1,V ugm-3 (TEOM FDMS)
2017-11-01,20:00:00,24.5,V ugm-3 (TEOM FDMS),12.4,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),11.597,V ugm-3 (Ref.eq),32,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),32.3,V ugm-3 (TEOM FDMS)
2017-11-01,21:00:00,18.6,V ugm-3 (TEOM FDMS),13.8,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),13.741,V ugm-3 (Ref.eq),28.7,V ugm-3 (TEOM FDMS),21.2,V ugm-3 (TEOM FDMS),19.8,V ugm-3 (TEOM FDMS)
2017-11-01,22:00:00,22.8,V ugm-3 (TEOM FDMS),16.8,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),20.469,V ugm-3 (Ref.eq),29.9,V ugm-3 (TEOM FDMS),26.7,V ugm-3 (TEOM FDMS),21.5,V ugm-3 (TEOM FDMS)
2017-11-01,23:00:00,22,V ugm-3 (TEOM FDMS),18.3,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),22.998,V ugm-3 (Ref.eq),28,V ugm-3 (TEOM FDMS),29.3,V ugm-3 (TEOM FDMS),25.1,V ugm-3 (TEOM FDMS)
2017-11-01,24:00:00,23.1,V ugm-3 (TEOM FDMS),18.2,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),22.243,V ugm-3 (Ref.eq),30.8,V ugm-3 (TEOM FDMS),32.4,V ugm-3 (TEOM FDMS),28.4,V ugm-3 (TEOM FDMS)
2017-11-02,01:00:00,23.7,V ugm-3 (TEOM FDMS),17.4,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),19.219,V ugm-3 (Ref.eq),30.1,V ugm-3 (TEOM FDMS),30.1,V ugm-3 (TEOM FDMS),22.8,V ugm-3 (TEOM FDMS)
2017-11-02,02:00:00,20.4,V ugm-3 (TEOM FDMS),21.4,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),20.288,V ugm-3 (Ref.eq),25.6,V ugm-3 (TEOM FDMS),32.9,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS)
