Hourly measurement data supplied by UK-air on 14/08/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Glasgow High Street",,"Glasgow Townhead",
Latitude,,55.860936,,55.865782,,
Longitude,,-4.238214,,-4.243631,,
Site Type,,Urban Traffic,,Urban Background,,
Zone,,Central Scotland,,Central Scotland,,
Agglomeration,,Glasgow Urban Area,,Glasgow Urban Area,,
Local Authority,,"Glasgow",,"Glasgow",,
Date,Time,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2017-11-03,05:00:00,-1.5,V ugm-3 (TEOM FDMS),5.134,V ugm-3 (TEOM FDMS)
2017-11-03,06:00:00,-0.7,V ugm-3 (TEOM FDMS),4.936,V ugm-3 (TEOM FDMS)
2017-11-03,07:00:00,1.3,V ugm-3 (TEOM FDMS),5.331,V ugm-3 (TEOM FDMS)
2017-11-03,08:00:00,4.6,V ugm-3 (TEOM FDMS),6.516,V ugm-3 (TEOM FDMS)
2017-11-03,09:00:00,6.7,V ugm-3 (TEOM FDMS),3.949,V ugm-3 (TEOM FDMS)
2017-11-03,10:00:00,6.8,V ugm-3 (TEOM FDMS),7.109,V ugm-3 (TEOM FDMS)
2017-11-03,11:00:00,2,V ugm-3 (TEOM FDMS),6.714,V ugm-3 (TEOM FDMS)
2017-11-03,12:00:00,4.8,V ugm-3 (TEOM FDMS),3.85,V ugm-3 (TEOM FDMS)
2017-11-03,13:00:00,7.6,V ugm-3 (TEOM FDMS),6.911,V ugm-3 (TEOM FDMS)
2017-11-03,14:00:00,4.3,V ugm-3 (TEOM FDMS),6.714,V ugm-3 (TEOM FDMS)
2017-11-03,15:00:00,7.9,V ugm-3 (TEOM FDMS),7.997,V ugm-3 (TEOM FDMS)
2017-11-03,16:00:00,8.3,V ugm-3 (TEOM FDMS),8.195,V ugm-3 (TEOM FDMS)
2017-11-03,17:00:00,8.1,V ugm-3 (TEOM FDMS),7.503,V ugm-3 (TEOM FDMS)
2017-11-03,18:00:00,8.9,V ugm-3 (TEOM FDMS),8.886,V ugm-3 (TEOM FDMS)
2017-11-03,19:00:00,6.6,V ugm-3 (TEOM FDMS),7.405,V ugm-3 (TEOM FDMS)
2017-11-03,20:00:00,6.6,V ugm-3 (TEOM FDMS),7.405,V ugm-3 (TEOM FDMS)
2017-11-03,21:00:00,6.6,V ugm-3 (TEOM FDMS),7.602,V ugm-3 (TEOM FDMS)
2017-11-03,22:00:00,5.9,V ugm-3 (TEOM FDMS),10.465,V ugm-3 (TEOM FDMS)
2017-11-03,23:00:00,8.8,V ugm-3 (TEOM FDMS),8.096,V ugm-3 (TEOM FDMS)
2017-11-03,24:00:00,7.5,V ugm-3 (TEOM FDMS),9.182,V ugm-3 (TEOM FDMS)
2017-11-04,01:00:00,11.2,V ugm-3 (TEOM FDMS),10.76,V ugm-3 (TEOM FDMS)
2017-11-04,02:00:00,10.2,V ugm-3 (TEOM FDMS),9.575,V ugm-3 (TEOM FDMS)
2017-11-04,03:00:00,2.5,V ugm-3 (TEOM FDMS),7.009,V ugm-3 (TEOM FDMS)
2017-11-04,04:00:00,3.2,V ugm-3 (TEOM FDMS),5.232,V ugm-3 (TEOM FDMS)
2017-11-04,05:00:00,2.3,V ugm-3 (TEOM FDMS),5.232,V ugm-3 (TEOM FDMS)
2017-11-04,06:00:00,2.8,V ugm-3 (TEOM FDMS),2.468,V ugm-3 (TEOM FDMS)
2017-11-04,07:00:00,2,V ugm-3 (TEOM FDMS),3.652,V ugm-3 (TEOM FDMS)
2017-11-04,08:00:00,1.3,V ugm-3 (TEOM FDMS),3.455,V ugm-3 (TEOM FDMS)
2017-11-04,09:00:00,2.9,V ugm-3 (TEOM FDMS),4.738,V ugm-3 (TEOM FDMS)
2017-11-04,10:00:00,5.2,V ugm-3 (TEOM FDMS),6.811,V ugm-3 (TEOM FDMS)
2017-11-04,11:00:00,2.6,V ugm-3 (TEOM FDMS),6.219,V ugm-3 (TEOM FDMS)
2017-11-04,12:00:00,1.3,V ugm-3 (TEOM FDMS),6.12,V ugm-3 (TEOM FDMS)
2017-11-04,13:00:00,6.6,V ugm-3 (TEOM FDMS),7.502,V ugm-3 (TEOM FDMS)
2017-11-04,14:00:00,1.5,V ugm-3 (TEOM FDMS),6.219,V ugm-3 (TEOM FDMS)
2017-11-04,15:00:00,9.4,V ugm-3 (TEOM FDMS),5.232,V ugm-3 (TEOM FDMS)
2017-11-04,16:00:00,6.2,V ugm-3 (TEOM FDMS),6.022,V ugm-3 (TEOM FDMS)
2017-11-04,17:00:00,3.9,V ugm-3 (TEOM FDMS),8.193,V ugm-3 (TEOM FDMS)
2017-11-04,18:00:00,9.9,V ugm-3 (TEOM FDMS),7.108,V ugm-3 (TEOM FDMS)
2017-11-04,19:00:00,10.5,V ugm-3 (TEOM FDMS),11.352,V ugm-3 (TEOM FDMS)
2017-11-04,20:00:00,29.4,V ugm-3 (TEOM FDMS),14.215,V ugm-3 (TEOM FDMS)
